,Unnamed: 0,company_name,Date,Share Type,Amount Raised,Raised to Date,Issue Price,Post Money Valuation,Key Investors,Price Per Share,Shares Outstanding,Percent Shares Outstanding,Liquidation Pref Order,Liquidation Pref As Multiplier,Conversion Ratio,Participating,Participation Cap,Dividend Rate,Cumulative,Investors
863,863,bolt-threads,Aug 2022,Series E,$253.89MM,$465.02MM,$18.95,$1.17B,Undisclosed Investors,$8.47,"5,793,003",16.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Formation 8, Nan Fung, Innovation Endeavors, Alafi Capital, East West Capital, Foundation Capital, Founders Fund"
864,864,bolt-threads,Sep 2017,Series D,$124.29MM,$211.13MM,$16.04,$717.47MM,"Baillie Gifford, 8VC, Formation 8",$8.47,"5,793,003",16.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Formation 8, Nan Fung, Innovation Endeavors, Alafi Capital, East West Capital, Foundation Capital, Founders Fund"
865,865,bolt-threads,Jun 2015,Series B,$32.6MM,$37.77MM,$3.39,$100.8MM,"Foundation Capital, Formation 8, Alafi Capital Company",$8.47,"5,793,003",16.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Formation 8, Nan Fung, Innovation Endeavors, Alafi Capital, East West Capital, Foundation Capital, Founders Fund"
866,866,bolt-threads,Jan 2013,Series A,$5.17MM,$5.17MM,$0.93,$18.8MM,"Foundation Capital, Mission Bay Capital, Zygote Ventures",$8.47,"5,793,003",16.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Formation 8, Nan Fung, Innovation Endeavors, Alafi Capital, East West Capital, Foundation Capital, Founders Fund"
867,867,bolt-threads,May 2016,Series C,$49.08MM,$86.84MM,$8.47,$303.54MM,"Formation 8, Nan Fung, Innovation Endeavors",$8.47,"5,793,003",16.2%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Formation 8, Nan Fung, Innovation Endeavors, Alafi Capital, East West Capital, Foundation Capital, Founders Fund"
868,868,cityblock-health,Sep 2021,Series D-2,$75MM,$568.83MM,$78.86,$6.22B,Softbank,$0.48,"5,000,000",40.0%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Undisclosed Investors
869,869,cityblock-health,Sep 2021,Series D-1,$325MM,$818.83MM,$78.86,$6.22B,Softbank,$0.48,"5,000,000",40.0%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Undisclosed Investors
870,870,cityblock-health,Mar 2021,Series C-2,$192.25MM,$493.83MM,$41.55,$3B,"Tiger Global Management, Kinnevik AB, Maverick Ventures",$0.48,"5,000,000",40.0%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Undisclosed Investors
871,871,cityblock-health,Dec 2020,Series C,$160MM,$301.58MM,$20.00,$1.26B,"General Catalyst, Wellington Management, Kinnevik AB",$0.48,"5,000,000",40.0%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Undisclosed Investors
872,872,cityblock-health,Jun 2020,Series B+,$53.31MM,$141.58MM,$5.89,$333.47MM,"Kinnevik AB, AIMS, Alphabet",$0.48,"5,000,000",40.0%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Undisclosed Investors
873,873,cityblock-health,Mar 2019,Series B-1,$57.55MM,$80.74MM,$5.26,$234.06MM,"Redpoint Ventures, 8VC, Echo Health Ventures",$0.48,"5,000,000",40.0%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Undisclosed Investors
874,874,cityblock-health,Mar 2019,Series B-3,$5.01MM,$28.2MM,$3.34,$234.06MM,"Redpoint Ventures, 8VC, Echo Health Ventures",$0.48,"5,000,000",40.0%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Undisclosed Investors
875,875,cityblock-health,Mar 2019,Series B-2,$2.53MM,$25.72MM,$1.76,$234.06MM,"Redpoint Ventures, 8VC, Echo Health Ventures",$0.48,"5,000,000",40.0%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Undisclosed Investors
876,876,cityblock-health,Jan 2018,Series A,$20.79MM,$23.19MM,$1.43,$39.93MM,"Maverick Ventures, Thrive Capital, Sidewalk Labs",$0.48,"5,000,000",40.0%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Undisclosed Investors
877,877,cityblock-health,Sep 2017,Series Seed,$2.4MM,$2.4MM,$0.48,$6MM,Undisclosed Investors,$0.48,"5,000,000",40.0%,1st,1.0x,1.0x,Non-participating,,5.0%,Non-cumulative,Undisclosed Investors
878,878,app-annie,Jan 2016,Series E,$48.1MM,$142.21MM,$7.35,$463.22MM,"Greenspring Associates, e.Ventures, Greycroft Partners",$0.35,"2,899,000",10.2%,4th,1.0x,1.0x,Participating,1000.0,0.0%,Non-cumulative,IDG Capital Partners
879,879,app-annie,Jan 2015,Series D,$55.03MM,$94.11MM,$6.51,$372.07MM,"Institutional Venture Partners, Sequoia Capital, Greycroft Partners",$0.35,"2,899,000",10.2%,4th,1.0x,1.0x,Participating,1000.0,0.0%,Non-cumulative,IDG Capital Partners
880,880,app-annie,Jun 2014,Series C-1,$17.08MM,$39.08MM,$4.43,$206.74MM,Undisclosed Investors,$0.35,"2,899,000",10.2%,4th,1.0x,1.0x,Participating,1000.0,0.0%,Non-cumulative,IDG Capital Partners
881,881,app-annie,Sep 2013,Series C,$15MM,$22MM,$1.77,$75.87MM,"Sequoia Capital, IDG Capital Partners, Greycroft Partners",$0.35,"2,899,000",10.2%,4th,1.0x,1.0x,Participating,1000.0,0.0%,Non-cumulative,IDG Capital Partners
882,882,app-annie,Aug 2012,Series B,$6MM,$7MM,$1.02,$34.87MM,"Greycroft Partners, e.Ventures, Infinity Venture Partners",$0.35,"2,899,000",10.2%,4th,1.0x,1.0x,Participating,1000.0,0.0%,Non-cumulative,IDG Capital Partners
883,883,app-annie,Jul 2011,Series A,$1MM,$1MM,$0.35,$9.8MM,IDG Capital Partners,$0.35,"2,899,000",10.2%,4th,1.0x,1.0x,Participating,1000.0,0.0%,Non-cumulative,IDG Capital Partners
884,884,omnisci,Oct 2018,Series C-1,$27.5MM,$65.72MM,$11.19,$245.4MM,"Tiger Global Management, In-Q-Tel, New Enterprise Associates",$4.13,"3,161,746",25.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"GV, In-Q-Tel, NVIDIA GPU Ventures, Vanedge Capital, Verizon Ventures"
885,885,omnisci,Oct 2018,Series C,$27.5MM,$65.72MM,$11.19,$245.4MM,"Tiger Global Management, In-Q-Tel, New Enterprise Associates",$4.13,"3,161,746",25.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"GV, In-Q-Tel, NVIDIA GPU Ventures, Vanedge Capital, Verizon Ventures"
886,886,omnisci,Mar 2017,Series B,$25.18MM,$38.22MM,$5.97,$97.9MM,"New Enterprise Associates, NVIDIA GPU Ventures, The Dcode Group",$4.13,"3,161,746",25.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"GV, In-Q-Tel, NVIDIA GPU Ventures, Vanedge Capital, Verizon Ventures"
887,887,omnisci,Mar 2016,Series A,$13.04MM,$13.04MM,$4.13,$52.18MM,"GV, In-Q-Tel, NVIDIA GPU Ventures",$4.13,"3,161,746",25.0%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"GV, In-Q-Tel, NVIDIA GPU Ventures, Vanedge Capital, Verizon Ventures"
888,888,airspace-technologies,May 2022,Series C-1,$70MM,$139.5MM,$7.98,$411.48MM,"DBL Partners, Telstra Ventures, HarbourVest Partners",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
889,889,airspace-technologies,Jan 2021,Series C,$39.25MM,$69.5MM,$5.24,$220.57MM,"Telstra Ventures, HarbourVest Partners, Scale Ventures",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
890,890,airspace-technologies,Nov 2018,Series B,$20MM,$30.25MM,$2.69,$90.8MM,"Scale Venture Partners, Defy, Qualcomm Ventures",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
891,891,airspace-technologies,Aug 2018,Series A-1,$6.5MM,$8.77MM,$0.79,$20.76MM,"Defy, Qualcomm Ventures, Cross Culture Ventures",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
892,892,airspace-technologies,Aug 2018,Series A-2,$738.31K,$3.01MM,$0.63,$20.76MM,"Defy, Qualcomm Ventures, Cross Culture Ventures",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
893,893,airspace-technologies,Aug 2018,Series A-3,$739.55K,$3.01MM,$0.59,$20.76MM,"Defy, Qualcomm Ventures, Cross Culture Ventures",$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
894,894,airspace-technologies,Jun 2017,Series Seed,$2.28MM,$2.28MM,$0.59,$7.58MM,Undisclosed Investors,$0.59,"3,835,135",30.0%,1st,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
895,895,prosper,Sep 2017,Series G,$50MM,$326.43MM,$1.34,$546.9MM,FinEx Asia,$0.00,"24,760,915",0.0%,2nd,1.0x,0.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
896,896,prosper,Feb 2017,Series F,$4.00,$276.43MM,$1.34,$317.48MM,Undisclosed Investors,$0.00,"24,760,915",0.0%,2nd,1.0x,0.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
897,897,prosper,Dec 2016,Series E-2,$1.00,$276.43MM,$0.84,$213.89MM,Undisclosed Investors,$0.00,"24,760,915",0.0%,2nd,1.0x,0.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
898,898,prosper,Dec 2016,Series E-1,$1.00,$276.43MM,$0.84,$213.89MM,Undisclosed Investors,$0.00,"24,760,915",0.0%,2nd,1.0x,0.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
899,899,prosper,Apr 2015,Series D,$165MM,$276.43MM,$6.91,$1.87B,"Credit Suisse, J.P. Morgan Asset Management, SunTrust Banks",$0.00,"24,760,915",0.0%,2nd,1.0x,0.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
900,900,prosper,May 2014,Series C,$70.07MM,$111.43MM,$2.87,$734.59MM,"Francisco Partners, Institutional Venture Partners, Phenomen Ventures",$0.00,"24,760,915",0.0%,2nd,1.0x,0.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
901,901,prosper,Sep 2013,Series B,$21.58MM,$41.36MM,$0.60,$155.75MM,"Sequoia Capital, BlackRock Private Equity Partners, Garrison Capital",$0.00,"24,760,915",0.0%,2nd,1.0x,0.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
902,902,prosper,Jul 2012,Series A,$19.77MM,$19.77MM,$0.29,$67.29MM,Undisclosed Investors,$0.00,"24,760,915",0.0%,2nd,1.0x,0.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
903,903,prosper,Jul 2012,Series A-1,$5.00,$5.00,$0.00,$67.29MM,Undisclosed Investors,$0.00,"24,760,915",0.0%,2nd,1.0x,0.0x,Non-participating,,0.0%,Non-cumulative,Undisclosed Investors
904,904,thrive-market,Jul 2021,Series C,$86.38MM,$301.33MM,$24.60,$1.29B,"Mamoon Hamid, Kleiner Perkins, Owl Ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
905,905,thrive-market,Jul 2018,Series B-4,$64.05MM,$214.95MM,$13.33,$668.69MM,"GS Retail Co., Bridge Capital, Runway Venture Partners",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
906,906,thrive-market,Jun 2016,Series B,$90MM,$129.8MM,$13.33,$600.65MM,"CAVU Venture Partners, Cross Culture Ventures, e.ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
907,907,thrive-market,Jun 2016,Series B-1,$3.79MM,$43.58MM,$11.85,$600.65MM,"CAVU Venture Partners, Cross Culture Ventures, e.ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
908,908,thrive-market,Jun 2016,Series B-2,$2.8MM,$42.6MM,$11.33,$600.65MM,"CAVU Venture Partners, Cross Culture Ventures, e.ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
909,909,thrive-market,Jun 2016,Series B-3,$14.52MM,$54.32MM,$10.66,$600.65MM,"CAVU Venture Partners, Cross Culture Ventures, e.ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
910,910,thrive-market,Jul 2015,Series A,$33.54MM,$33.54MM,$6.65,$220.4MM,"Bam Ventures, Compound Ventures, Cross Culture Ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
911,911,thrive-market,Jul 2015,Series A-3,$4.45MM,$4.45MM,$5.32,$220.4MM,"Bam Ventures, Compound Ventures, Cross Culture Ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
912,912,thrive-market,Jul 2015,Series A-2,$584.97K,$584.97K,$0.53,$220.4MM,"Bam Ventures, Compound Ventures, Cross Culture Ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
913,913,thrive-market,Jul 2015,Series A-1,$1.23MM,$1.23MM,$0.27,$220.4MM,"Bam Ventures, Compound Ventures, Cross Culture Ventures",$0.27,"4,621,227",0.6%,3rd,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Bam Ventures, Compound Ventures, Cross Culture Ventures, e.ventures, Energy Brands, Greycroft Partners, Inevitable Ventures, Kensington Capital Holdings, Powerplant Ventures, Scripps Networks Interactive, Stonyfield Farm, TYLT Ventures, Zulily"
914,914,lendinghome,Mar 2018,Series D,$117.25MM,$283.42MM,$13.67,$1.08B,Fort Ross Ventures,$0.96,"11,742,840",35.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Ariel Poler, First Round Capital, Foundation Capital"
915,915,lendinghome,Nov 2017,Series C-2,$56.9MM,$166.16MM,$10.96,$601.45MM,"Acequia Capital, FJ Labs, Fort Ross Ventures",$0.96,"11,742,840",35.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Ariel Poler, First Round Capital, Foundation Capital"
916,916,lendinghome,Apr 2015,Series C-1,$70.35MM,$109.26MM,$10.70,$485.97MM,"Acequia Capital, Colony Capital, DHVC",$0.96,"11,742,840",35.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Ariel Poler, First Round Capital, Foundation Capital"
917,917,lendinghome,Aug 2014,Series B,$27.6MM,$38.91MM,$4.14,$169.43MM,"Cowboy Ventures, Foundation Capital, Industrial Technology Investment",$0.96,"11,742,840",35.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Ariel Poler, First Round Capital, Foundation Capital"
918,918,lendinghome,Nov 2013,Series A,$11.31MM,$11.31MM,$0.96,$32.31MM,"Ariel Poler, First Round Capital, Foundation Capital",$0.96,"11,742,840",35.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,"Ariel Poler, First Round Capital, Foundation Capital"
919,919,automation-anywhere,Nov 2019,Series B,$174MM,$699MM,$16.61,$6.84B,"Salesforce Ventures, SoftBank Group, Goldman Sachs",$5.48,"56,366,270",17.2%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"General Atlantic, Goldman Sachs Merchant Banking Division, New Enterprise Associates, World Innovation Lab"
920,920,automation-anywhere,Nov 2019,Series B-1,$116MM,$641MM,$16.61,$6.84B,"Salesforce Ventures, SoftBank Group, Goldman Sachs",$5.48,"56,366,270",17.2%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"General Atlantic, Goldman Sachs Merchant Banking Division, New Enterprise Associates, World Innovation Lab"
921,921,automation-anywhere,Nov 2018,Series A-1,$216MM,$525MM,$6.84,$2.71B,SoftBank Group,$5.48,"56,366,270",17.2%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"General Atlantic, Goldman Sachs Merchant Banking Division, New Enterprise Associates, World Innovation Lab"
922,922,automation-anywhere,Jul 2018,Series A,$309MM,$309MM,$5.48,$1.8B,"General Atlantic, Goldman Sachs Merchant Banking Division, New Enterprise Associates",$5.48,"56,366,270",17.2%,2nd,1.0x,1.0x,Non-participating,,0.0%,Non-cumulative,"General Atlantic, Goldman Sachs Merchant Banking Division, New Enterprise Associates, World Innovation Lab"
923,923,impossible-foods,Nov 2021,Series H-1,$500.15MM,$1.92B,$24.16,$6.84B,"Mirae Asset Global Investments, Rubix",$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
924,924,impossible-foods,Nov 2021,Series H-2,$43.52MM,$1.46B,$24.16,$6.84B,"Mirae Asset Global Investments, Rubix",$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
925,925,impossible-foods,Aug 2020,Series G-2,$9.53MM,$1.22B,$16.15,$4.05B,"Coatue Management, Mirae Asset Global Investments, Temasek Holdings",$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
926,926,impossible-foods,Aug 2020,Series G-1,$200.1MM,$1.41B,$16.15,$4.05B,"Coatue Management, Mirae Asset Global Investments, Temasek Holdings",$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
927,927,impossible-foods,Mar 2020,Series F-2,$203.46MM,$706.65MM,$15.41,$3.67B,"Mirae Asset Global Investments, Khosla Ventures, Horizons Ventures",$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
928,928,impossible-foods,Mar 2020,Series F-1,$500.95MM,$1B,$15.41,$3.67B,"Mirae Asset Global Investments, Khosla Ventures, Horizons Ventures",$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
929,929,impossible-foods,May 2019,Series E-2,$61.96MM,$265.15MM,$10.60,$2.08B,"Sailing Capital, Temasek Holdings, Open Philanthropy Project",$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
930,930,impossible-foods,May 2019,Series E-1,$238.04MM,$441.23MM,$10.60,$2.08B,"Sailing Capital, Temasek Holdings, Open Philanthropy Project",$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
931,931,impossible-foods,Oct 2015,Series D,$125MM,$203.19MM,$4.50,$743.93MM,"UBS, Viking Global, Horizons Ventures",$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
932,932,impossible-foods,Jun 2014,Series C,$41.12MM,$78.19MM,$2.03,$278.9MM,"Gates Ventures, Khosla Ventures, GV",$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
933,933,impossible-foods,Jul 2013,Series B,$27.58MM,$34MM,$1.35,$155.94MM,Khosla Ventures,$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
934,934,impossible-foods,Jul 2013,Series A-1,$3.06MM,$9.49MM,$0.39,$155.94MM,Khosla Ventures,$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
935,935,impossible-foods,Sep 2011,Series A,$6.42MM,$6.42MM,$1.00,$64.21MM,Khosla Ventures,$1.00,"6,420,560",10.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Khosla Ventures
936,936,omada-health,Feb 2022,Series E,$192MM,$459.88MM,$6.00,$1.02B,"Fidelity, aMoon, Perceptive Advisors",$0.53,"12,027,426",39.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"U.S. Venture Partners, The Vertical Group, Founder Collective, New Enterprise Associates, TriplePoint Capital, Kapor Capital, HealthTech Capital"
937,937,omada-health,Mar 2021,Series D-1,$27MM,$267.88MM,$6.00,$780.77MM,Undisclosed Investors,$0.53,"12,027,426",39.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"U.S. Venture Partners, The Vertical Group, Founder Collective, New Enterprise Associates, TriplePoint Capital, Kapor Capital, HealthTech Capital"
938,938,omada-health,May 2020,Series D,$112.47MM,$240.88MM,$5.04,$612.85MM,"Perceptive Advisors, Andreessen Horowitz, Cigna Ventures",$0.53,"12,027,426",39.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"U.S. Venture Partners, The Vertical Group, Founder Collective, New Enterprise Associates, TriplePoint Capital, Kapor Capital, HealthTech Capital"
939,939,omada-health,May 2017,Series C-1,$49.99MM,$128.41MM,$3.74,$320.25MM,"Cigna, Civilization Ventures, Sanofi Genzyme BioVentures",$0.53,"12,027,426",39.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"U.S. Venture Partners, The Vertical Group, Founder Collective, New Enterprise Associates, TriplePoint Capital, Kapor Capital, HealthTech Capital"
940,940,omada-health,Oct 2015,Series C,$48.67MM,$78.42MM,$3.16,$216.43MM,"Norwest Venture Partners, Providence Ventures, Humana Ventures",$0.53,"12,027,426",39.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"U.S. Venture Partners, The Vertical Group, Founder Collective, New Enterprise Associates, TriplePoint Capital, Kapor Capital, HealthTech Capital"
941,941,omada-health,Apr 2014,Series B,$23.33MM,$29.76MM,$1.18,$60.57MM,"Andreessen Horowitz, Kaiser Permanente Ventures, U.S. Venture Partners",$0.53,"12,027,426",39.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"U.S. Venture Partners, The Vertical Group, Founder Collective, New Enterprise Associates, TriplePoint Capital, Kapor Capital, HealthTech Capital"
942,942,omada-health,Mar 2013,Series A,$6.43MM,$6.43MM,$0.53,$16.11MM,"U.S. Venture Partners, The Vertical Group, Founder Collective",$0.53,"12,027,426",39.9%,1st,1.0x,1.0x,Non-participating,,6.0%,Non-cumulative,"U.S. Venture Partners, The Vertical Group, Founder Collective, New Enterprise Associates, TriplePoint Capital, Kapor Capital, HealthTech Capital"
943,943,miso-robotics,Nov 2022,Series E,$22.98MM,$85.05MM,$10.05,$492.87MM,J Heart Ventures,$4.11,"769,784",30.0%,5th,1.0x,7.0031x,Non-participating,,0.0%,Non-cumulative,"Acacia Research Corporation, Match Robotics VC, Future VC, Grazadio Family Trust"
944,944,miso-robotics,Jun 2021,Series D,$22.81MM,$62.07MM,$56.62,$372.81MM,"Hanfield Venture Partners, Trousdale Ventures",$4.11,"769,784",30.0%,5th,1.0x,7.0031x,Non-participating,,0.0%,Non-cumulative,"Acacia Research Corporation, Match Robotics VC, Future VC, Grazadio Family Trust"
945,945,miso-robotics,May 2021,Series C,$26.05MM,$39.27MM,$17.16,$110MM,"Knockout Capital, Future VC, Grazadio Family Trust",$4.11,"769,784",30.0%,5th,1.0x,7.0031x,Non-participating,,0.0%,Non-cumulative,"Acacia Research Corporation, Match Robotics VC, Future VC, Grazadio Family Trust"
946,946,miso-robotics,Feb 2018,Series B,$10.05MM,$13.21MM,$10.07,$39.57MM,"Acacia Research Corporation, Future VC, Grazadio Family Trust",$4.11,"769,784",30.0%,5th,1.0x,7.0031x,Non-participating,,0.0%,Non-cumulative,"Acacia Research Corporation, Match Robotics VC, Future VC, Grazadio Family Trust"
947,947,miso-robotics,Jul 2017,Series A,$3.16MM,$3.16MM,$4.11,$10.55MM,"Acacia Research Corporation, Match Robotics VC, Future VC",$4.11,"769,784",30.0%,5th,1.0x,7.0031x,Non-participating,,0.0%,Non-cumulative,"Acacia Research Corporation, Match Robotics VC, Future VC, Grazadio Family Trust"
948,948,magic-leap,Oct 2021,Series AA,$453.48MM,$453.48MM,$19.20,$2B,Undisclosed Investors,$19.20,"2,422,552",2.3%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed Investors
949,949,magic-leap,Oct 2021,Series AA-NV,$46.52MM,$46.52MM,$19.20,$2B,Undisclosed Investors,$19.20,"2,422,552",2.3%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Undisclosed Investors
950,950,postman,Aug 2021,Series D,$145MM,$352MM,$17.54,$5.57B,"Insight Partners, Nexus Venture Partners, CRV",$0.11,"62,395,200",25.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Nexus Venture Partners
951,951,postman,Jun 2020,Series C,$150MM,$207MM,$6.51,$2.06B,"Insight Partners, CRV, Nexus Venture Partners",$0.11,"62,395,200",25.0%,1st,1.0x,1.0x,Non-participating,,8.0%,Non-cumulative,Nexus Venture Partners
